GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.ear,EjbUtil.new WeldBeanDeploymentArchive() {...},0,16,0,0,0,2,0,2,0,2
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.ear,WarUtil,6,210,1,3,2,40,1,9,0,8
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.ear,EjbUtil,39,304,6,20,5,53,7,15,1,8
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.ear,EarUtil,13,438,1,15,4,73,1,19,0,12
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.weld.services,MockEjbServices,3,4,0,0,2,2,2,2,2,2
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.weld.services,MockTransactionServices,5,4,0,0,3,2,3,2,3,2
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.weld.services,MockSecurityServices,2,4,0,0,1,2,1,2,1,2
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.weld.services,MockInjectionServices,3,5,0,0,2,3,1,3,1,3
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.weld,AbstractDeployment,0,51,0,0,0,11,0,3,0,3
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.weld,SimpleEjbDescriptor.BusinessInterface,0,9,0,0,0,4,0,2,0,2
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.weld,WarDeployment,0,7,0,0,0,2,0,1,0,1
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.weld,JarsBeanArchiveScanner,1,63,1,1,1,10,1,3,0,3
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.weld,WarBeanArchiveScanner,12,86,2,4,2,14,2,4,0,3
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.weld,EarDeployment,0,85,0,10,0,11,0,11,0,6
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.weld,SimpleEjbDescriptor,2,174,5,15,1,37,6,19,1,14
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin,ValidateMojo,8,97,1,3,3,20,1,3,0,2
