GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.ear,EjbUtil.new WeldBeanDeploymentArchive() {...},0,16,0,0,0,2,0,2,0,2
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.ear,EjbUtil,49,320,6,20,6,59,9,15,3,8
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.ear,EarUtil,13,461,1,15,4,85,1,20,0,13
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.weld.bootstrap,PredefinedBeansExtension,0,22,0,0,0,6,0,2,0,2
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.weld.bootstrap,PredefinedBeansExtension.new ForwardingAnnotatedType() {...},0,16,0,0,0,3,0,3,0,3
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.war,WarUtil,6,221,1,3,2,44,1,9,0,8
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.weld.services,MockEjbServices,3,4,0,0,2,2,2,2,2,2
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.weld.services,MockTransactionServices,5,4,0,0,3,2,3,2,3,2
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.weld.services,MockSecurityServices,2,4,0,0,1,2,1,2,1,2
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.weld.services,MockInjectionServices,3,5,0,0,2,3,1,3,1,3
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.weld,AbstractDeployment,0,51,0,0,0,11,0,3,0,3
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.weld,SimpleEjbDescriptor.BusinessInterface,0,9,0,0,0,4,0,2,0,2
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.weld,WarDeployment,0,7,0,0,0,2,0,1,0,1
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.weld,JarsBeanArchiveScanner,1,63,1,1,1,10,1,3,0,3
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.weld,WarBeanArchiveScanner,6,92,0,6,2,14,0,6,0,3
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.weld,EarDeployment,0,85,0,10,0,11,0,11,0,6
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin.weld,SimpleEjbDescriptor,17,187,11,17,2,36,10,20,1,15
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin,EmptyClassLoader,0,8,0,0,0,2,0,2,0,2
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin,HelpMojo,893,0,110,0,159,0,71,0,16,0
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin,ArchiveUtil,7,40,0,0,2,8,0,2,0,2
CDI Maven Plugin,com.github.jonasrutishauser.cdi.maven.plugin,ValidateMojo,23,363,4,12,6,88,4,11,0,7
